Year,Country,Units,Product,Indicator,Value
2005 ,Albania,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,694.3 
2005 ,Austria,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,7000.5 
2005 ,Bosnia and Herzegovina,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,0.0 
2005 ,Belgium,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,874.8 
2005 ,Bulgaria,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1123.8 
2005 ,Cyprus,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,47.7 
2005 ,Czech Republic,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,2274.1 
2005 ,Germany,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,16850.5 
2005 ,Denmark,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,2513.8 
2005 ,Estonia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,692.2 
2005 ,Greece,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1643.4 
2005 ,Spain,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,8397.7 
2005 ,Finland,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,8163.8 
2005 ,France,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,15790.2 
2005 ,Georgia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,: 
2005 ,Croatia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1855.4 
2005 ,Hungary,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1689.5 
2005 ,Ireland,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,366.1 
2005 ,Iceland,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,2383.6 
2005 ,Italy,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,13328.5 
2005 ,Lithuania,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,899.8 
2005 ,Luxembourg,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,71.6 
2005 ,Latvia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1853.8 
2005 ,Moldova,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,0.0 
2005 ,Montenegro,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,306.0 
2005 ,Macedonia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,343.2 
2005 ,Malta,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,0.5 
2005 ,Netherlands,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1970.1 
2005 ,Norway,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,12955.6 
2005 ,Poland,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,4549.4 
2005 ,Portugal,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,3474.7 
2005 ,Romania,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,4984.2 
2005 ,Serbia,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,1937.4 
2005 ,Sweden,Thousand tonnes of oil equivalent (TOE),Renewable energies,Primary production,14726.8 
